guid,act,tas,wa,vic,qld,nsw,sa,nt
https://id.biodiversity.org.au/node/apni/2903631,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2899337,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2897578,1,0,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2897167,0,0,1,1,0,1,1,1
https://id.biodiversity.org.au/node/apni/2908680,0,0,1,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2900572,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/7767601,1,0,1,1,1,1,1,1
https://id.biodiversity.org.au/taxon/apni/51268028,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2919386,0,0,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2891668,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2890045,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2919445,0,0,1,0,1,1,1,1
https://id.biodiversity.org.au/node/apni/2887162,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2890530,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2912079,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/taxon/apni/51270837,1,1,1,1,1,1,1,1
https://id.biodiversity.org.au/node/apni/7129078,0,0,0,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2905302,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2888299,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2916453,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/9358711,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2905537,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2894018,0,0,1,0,0,0,0,1
https://id.biodiversity.org.au/node/apni/2904309,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2915278,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2897316,0,0,1,0,1,1,0,1
https://id.biodiversity.org.au/node/apni/2921185,0,1,1,0,0,1,1,0
https://id.biodiversity.org.au/node/apni/2890448,0,0,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2910711,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2905133,1,1,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2912780,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2913933,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/ausmoss/10119645,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2913616,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2911964,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2905009,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2907848,0,0,1,0,1,1,0,1
NZOR-6-7371,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2889913,0,0,0,0,1,0,0,1
https://id.biodiversity.org.au/node/apni/2912800,0,0,1,1,1,1,1,1
https://id.biodiversity.org.au/node/apni/2917164,0,0,0,1,1,0,1,1
https://id.biodiversity.org.au/node/apni/2908602,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2917991,0,1,1,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2910803,0,0,0,1,0,1,0,0
https://id.biodiversity.org.au/name/apni/51407990,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2901200,0,0,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/9078998,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2904043,0,0,1,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2888805,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2891432,1,1,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2891519,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2917724,1,1,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2904662,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2896258,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51311181,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/taxon/apni/51289316,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2895659,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2899223,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/3850192,0,0,0,0,0,1,0,0
NZOR-6-58955,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2901044,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2913063,0,0,0,0,0,0,1,0
NZOR-6-60003,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2909896,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2912938,0,1,0,0,0,0,0,0
NZOR-6-85384,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2899354,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2901573,0,0,1,1,0,0,1,0
NZOR-6-26004,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/7098367,0,0,1,1,1,0,0,0
https://id.biodiversity.org.au/node/apni/2895995,0,1,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2889922,1,0,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2902992,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2886229,0,0,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2897268,0,1,0,1,0,1,1,0
https://id.biodiversity.org.au/taxon/apni/51266339,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2910892,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2901759,0,0,1,0,1,1,0,0
NZOR-6-122505,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2920791,0,1,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2907442,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2915534,0,0,1,0,1,0,0,1
https://id.biodiversity.org.au/node/apni/2907508,1,0,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2894652,1,1,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2907055,0,0,1,1,1,1,1,1
https://id.biodiversity.org.au/node/apni/2913213,0,0,1,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2898619,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2893018,0,0,0,0,1,0,0,0
NZOR-6-44970,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2908394,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51293927,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2895139,0,1,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2886161,0,0,0,1,0,0,0,0
