guid,occurrence_by_state,flower_color,flowering_season,plant_size
https://id.biodiversity.org.au/node/apni/2890796,,"Pink, White",Spring,Small
https://id.biodiversity.org.au/node/apni/2890894,Western Australia,"Lilac, Mauve","Summer, Winter",Large
https://id.biodiversity.org.au/node/apni/2890980,"Queensland, Victoria","Green, White, Yellow","Autumn, Spring, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2890993,,"Green, Red, White",,Large
https://id.biodiversity.org.au/node/apni/2891012,"New South Wales, Queensland",Yellow,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2891068,Western Australia,"Cream, Yellow","Spring, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2891071,"Tasmania, Victoria","Cream, Pink, Purple, White","Autumn, Spring",Prostrate
https://id.biodiversity.org.au/node/apni/2891080,"New South Wales, Queensland","Green, Grey, Pink, Red, White","Spring, Summer",Medium
https://id.biodiversity.org.au/node/apni/2891108,New South Wales,"Blue, Green, Pink, Purple",,Small
https://id.biodiversity.org.au/node/apni/2891165,New South Wales,"Green, Yellow",,Small
https://id.biodiversity.org.au/node/apni/2891189,"New South Wales, Queensland","Crimson, Pink",,Large
https://id.biodiversity.org.au/node/apni/2891397,Queensland,Red,,Small
https://id.biodiversity.org.au/node/apni/2891411,New South Wales,"Blue, Green, Red",Summer,Shrub
https://id.biodiversity.org.au/node/apni/2891533,"New South Wales, Queensland",Cream,Spring,Small
https://id.biodiversity.org.au/node/apni/2891609,New South Wales,"Green, Pink, White","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2891749,Queensland,"Orange, Red, Yellow",,Small
https://id.biodiversity.org.au/node/apni/2891871,,"Green, Grey, Orange, White",Summer,Large
https://id.biodiversity.org.au/node/apni/2892070,Western Australia,"Mauve, Purple","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2892148,"Australian Capital Territory, New South Wales, Victoria","Blue, Green","Spring, Summer",Perennial herb
https://id.biodiversity.org.au/node/apni/2892172,"New South Wales, Victoria","Pink, White","Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2892226,Western Australia,"Mauve, Orange, Red",Summer,Small
https://id.biodiversity.org.au/node/apni/2892280,"New South Wales, Victoria",White,Spring,Shrub
https://id.biodiversity.org.au/node/apni/2892341,Western Australia,"Cream, Pink, White","Spring, Summer, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2892343,"Northern Territory, Queensland","Black, Green, Grey, Red, Yellow",,Small
https://id.biodiversity.org.au/node/apni/2892415,,"Cream, Green, Grey, Pink, Red",,Small
https://id.biodiversity.org.au/node/apni/2892573,New South Wales,"Cream, Green, Red",,Small
https://id.biodiversity.org.au/node/apni/2892673,Western Australia,"Brown, Cream, Grey, Pink",Summer,Large
https://id.biodiversity.org.au/node/apni/2892850,Western Australia,"Green, White","Spring, Summer",Large
https://id.biodiversity.org.au/node/apni/2892924,"New South Wales, Queensland, Victoria","Green, White","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2892956,"New South Wales, Queensland","Green, Purple",,Medium
https://id.biodiversity.org.au/node/apni/2893031,Western Australia,"Pink, Purple","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2893113,New South Wales,"Green, Yellow",Summer,Large
https://id.biodiversity.org.au/node/apni/2893435,Western Australia,"Pink, White, Yellow","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2893565,Western Australia,"Mauve, Purple, Violet","Spring, Summer",Large
https://id.biodiversity.org.au/node/apni/2893676,Western Australia,"Green, Purple, Red, Yellow","Spring, Summer, Winter",Large
https://id.biodiversity.org.au/node/apni/2893745,Northern Territory,"Green, Mauve, Pink, Red",Winter,Shrub
https://id.biodiversity.org.au/node/apni/2893815,Western Australia,Green,,
https://id.biodiversity.org.au/node/apni/2893885,Western Australia,"Black, Green, Pink, Purple","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2894017,Western Australia,"Cream, Orange, Pink",Summer,Prostrate
https://id.biodiversity.org.au/node/apni/2894242,"New South Wales, Tasmania, Victoria","Pink, White",Spring,Small
https://id.biodiversity.org.au/node/apni/2894257,"New South Wales, Queensland","Green, Pink","Spring, Winter",Small
